ID,literal,Meanings
273,廻,"['round', 'game', 'revolve', 'go around', 'circumference']"
274,快,"['cheerful', 'pleasant', 'agreeable', 'comfortable']"
275,怪,"['suspicious', 'mystery', 'apparition']"
276,悔,"['repent', 'regret']"
277,恢,"['wide', 'large', 'enlarge']"
278,懐,"['feelings', 'heart', 'yearn', 'miss someone', 'become attached to', 'bosom', 'breast', 'pocket']"
279,戒,['commandment']
280,拐,"['kidnap', 'falsify']"
281,改,"['reformation', 'change', 'modify', 'mend', 'renew', 'examine', 'inspect', 'search']"
282,魁,['charging ahead of others']
283,晦,"['dark', 'disappear']"
284,械,"['contraption', 'fetter', 'machine', 'instrument']"
285,海,"['sea', 'ocean']"
286,灰,"['ashes', 'puckery juice', 'cremate']"
287,界,"['world', 'boundary']"
288,皆,"['all', 'everything']"
289,絵,"['picture', 'drawing', 'painting', 'sketch']"
290,芥,"['mustard', 'rape', 'dust', 'trash', 'rubbish']"
291,蟹,['crab']
292,開,"['open', 'unfold', 'unseal']"
293,階,"['storey', 'stair', 'counter for storeys of a building']"
294,貝,['shellfish']
295,凱,['victory song']
296,劾,"['censure', 'criminal investigation']"
297,外,['outside']
298,咳,"['cough', 'clear throat']"
299,害,"['harm', 'injury']"
300,崖,"['cliff', 'bluff', 'precipice']"
301,慨,"['rue', 'be sad', 'sigh', 'lament']"
302,概,"['outline', 'condition', 'approximation', 'generally']"
303,涯,"['horizon', 'shore', 'limit', 'bound']"
304,碍,['obstacle']
305,蓋,"['cover', 'lid', 'flap']"
306,街,"['boulevard', 'street', 'town']"
307,該,"['above-stated', 'the said', 'that specific']"
308,鎧,"['put on armor', 'arm oneself']"
309,骸,"['bone', 'body', 'corpse']"
310,浬,"['knot', 'nautical mile']"
311,馨,"['fragrant', 'balmy', 'favourable']"
312,蛙,['frog']
313,垣,"['hedge', 'fence', 'wall']"
314,柿,['persimmon']
315,蛎,['oyster']
316,鈎,"['hook', 'barb', 'gaff', 'brackets']"
317,劃,['divide']
318,嚇,"['menacing', 'dignity', 'majesty', 'threaten']"
319,各,"['each', 'every', 'either']"
320,廓,"['enclosure', 'quarter', 'red-light district']"
321,拡,"['broaden', 'extend', 'expand', 'enlarge']"
322,撹,"['disturb', 'throw into confusion']"
323,格,"['status', 'rank', 'capacity', 'character', 'case (law, grammar)']"
324,核,"['nucleus', 'core', 'kernel']"
325,殻,"['husk', 'nut shell']"
326,獲,"['seize', 'get', 'find', 'earn', 'acquire', 'can', 'may', 'able to']"
327,確,"['assurance', 'firm', 'tight', 'hard', 'solid', 'confirm', 'clear', 'evident']"
328,穫,"['harvest', 'reap']"
329,覚,"['memorize', 'learn', 'remember', 'awake', 'sober up']"
330,角,"['angle', 'corner', 'square', 'horn', 'antlers']"
331,赫,"['suddenly', 'brighten', 'illuminate', 'light up']"
332,較,"['contrast', 'compare']"
333,郭,"['enclosure', 'quarters', 'fortification', 'red-light district']"
334,閣,"['tower', 'tall building', 'palace']"
335,隔,"['isolate', 'alternate', 'distance', 'separate', 'gulf']"
336,革,"['leather', 'skin', 'reform', 'become serious']"
337,学,"['study', 'learning', 'science']"
338,岳,"['point', 'peak', 'mountain']"
339,楽,"['music', 'comfort', 'ease']"
340,額,"['forehead', 'tablet', 'plaque', 'framed picture', 'sum', 'amount', 'volume']"
341,顎,"['jaw', 'chin', 'gill']"
342,掛,"['hang', 'suspend', 'depend', 'arrive at', 'tax', 'pour']"
343,笠,"['bamboo hat', ""one's influence""]"
344,樫,"['evergreen oak', '(kokuji)']"
345,橿,['oak']
346,梶,['sculling oar']
347,鰍,['bullhead']
348,潟,['lagoon']
349,割,"['proportion', 'comparatively', 'divide', 'cut', 'separate', 'split']"
350,喝,"['hoarse', 'scold']"
351,恰,"['just as', 'as though', 'fortunately']"
352,括,"['fasten', 'tie up', 'arrest', 'constrict']"
353,活,"['lively', 'resuscitation', 'being helped', 'living']"
354,渇,"['thirst', 'dry up', 'parch']"
355,滑,"['slippery', 'slide', 'slip', 'fail exam']"
356,葛,"['arrowroot', 'kudzu']"
357,褐,"['brown', 'woollen kimono']"
358,轄,"['control', 'wedge']"
359,且,"['moreover', 'also', 'furthermore']"
360,鰹,['bonito']
361,叶,"['grant', 'answer']"
362,椛,"['autumn foliage', 'birch', 'maple', '(kokuji)']"
363,樺,"['birch', 'dark red']"
364,鞄,"['suitcase', 'bag', 'briefcase']"
365,株,"['stocks', 'stump', 'shares', 'stock', 'counter for small plants']"
366,兜,"['helmet', 'head piece']"
367,竃,"['kitchen stove', 'furnace', 'oven', 'hearth']"
368,蒲,"['bullrush', 'flag', 'cattail']"
369,釜,"['kettle', 'cauldron', 'iron pot']"
370,鎌,"['sickle', 'scythe', 'trick']"
371,噛,"['chew', 'bite', 'gnaw']"
372,鴨,"['wild duck', 'easy mark']"
373,栢,['oak']
374,茅,['miscanthus reed']
375,萱,['miscanthus reed']
376,粥,['rice gruel']
377,刈,"['reap', 'cut', 'clip', 'trim', 'prune']"
378,苅,['cutting (grass)']
379,瓦,"['tile', 'gram']"
380,乾,"['drought', 'dry', 'dessicate', 'drink up', 'heaven', 'emperor']"
381,侃,"['strong', 'just', 'righteous', 'peace-loving']"
382,冠,"['crown', 'best', 'peerless']"
383,寒,['cold']
384,刊,"['publish', 'carve', 'engrave']"
385,勘,"['intuition', 'perception', 'check', 'compare', 'sixth sense']"
386,勧,"['persuade', 'recommend', 'advise', 'encourage', 'offer']"
387,巻,"['scroll', 'volume', 'book', 'part', 'roll up', 'wind up', 'tie', 'coil', 'counter for texts (or book scrolls)']"
388,喚,"['yell', 'cry', 'call', 'scream', 'summon']"
389,堪,"['withstand', 'endure', 'support', 'resist']"
390,姦,"['wicked', 'mischief', 'seduce', 'rape', 'noisy']"
391,完,"['perfect', 'completion', 'end']"
392,官,"['bureaucrat', 'the government', 'organ']"
393,寛,"['tolerant', 'leniency', 'generosity', 'relax', 'feel at home', 'be at ease', 'broadminded']"
394,干,"['dry', 'parch', 'ebb', 'recede', 'interfere', 'intercede']"
395,幹,"['tree trunk', 'main part', 'talent', 'capability']"
396,患,"['afflicted', 'disease', 'suffer from', 'be ill']"
397,感,"['emotion', 'feeling', 'sensation']"
398,慣,"['accustomed', 'get used to', 'become experienced']"
399,憾,"['remorse', 'regret', 'be sorry']"
400,換,"['interchange', 'period', 'change', 'convert', 'replace', 'renew']"
401,敢,"['daring', 'brave', 'bold', 'sad', 'tragic', 'pitiful']"
402,柑,"['citrus', 'orange']"
403,桓,['marking post']
404,棺,"['coffin', 'casket']"
405,款,"['goodwill', 'article', 'section', 'friendship', 'collusion']"
406,歓,"['delight', 'joy']"
407,汗,"['sweat', 'perspire']"
408,漢,"['Sino-', 'China']"
409,澗,"['valley river', '10**36']"
410,潅,"['pour into', 'irrigate', 'shed (tears)', 'flow into', 'concentrate on']"
411,環,"['ring', 'circle', 'loop']"
412,甘,"['sweet', 'coax', 'pamper', 'be content', 'sugary']"
413,監,"['oversee', 'official', 'govt office', 'rule', 'administer']"
414,看,"['watch over', 'see']"
415,竿,"['pole', 'rod', 'scale beam', 'violin neck']"
416,管,"['pipe', 'tube', 'wind instrument', 'drunken talk', 'control', 'jurisdiction']"
417,簡,"['simplicity', 'brevity']"
418,緩,"['slacken', 'loosen', 'relax', 'lessen', 'be moderate', 'ease']"
419,缶,"['tin can', 'container', 'jar radical (no. 121)']"
420,翰,"['letter', 'writing brush']"
421,肝,"['liver', 'pluck', 'nerve', 'chutzpah']"
422,艦,['warship']
423,莞,"['smiling', 'reed used to cover tatami']"
424,観,"['outlook', 'look', 'appearance', 'condition', 'view']"
425,諌,"['admonish', 'dissuade']"
426,貫,"['pierce', '8 1/3lbs', 'penetrate', 'brace']"
427,還,"['send back', 'return']"
428,鑑,"['specimen', 'take warning from', 'learn from']"
429,間,"['interval', 'space']"
430,閑,['leisure']
431,関,"['connection', 'barrier', 'gateway', 'involve', 'concerning']"
432,陥,"['collapse', 'fall into', 'cave in', 'fall (castle)', 'slide into']"
433,韓,['Korea']
434,館,"['building', 'mansion', 'large building', 'palace']"
435,舘,"['mansion', 'large building', 'palace']"
436,丸,"['round', 'full (month)', 'perfection', '-ship', 'pills', 'make round', 'roll up', 'curl up', 'seduce', 'explain away']"
437,含,"['contain', 'include', 'hold in the mouth', 'bear in mind', 'understand', 'cherish']"
438,岸,['beach']
439,巌,"['rock', 'crag', 'boulder']"
440,玩,"['play', 'take pleasure in', 'trifle with', 'make sport of']"
441,癌,"['cancer', 'cancerous evil']"
442,眼,['eyeball']
443,岩,"['boulder', 'rock', 'cliff']"
444,翫,"['take pleasure in', 'play instrument']"
445,贋,"['counterfeit', 'forgery']"
446,雁,['wild goose']
447,頑,"['stubborn', 'foolish', 'firmly']"
448,顔,"['face', 'expression']"
449,願,"['petition', 'request', 'vow', 'wish', 'hope']"
450,企,"['undertake', 'scheme', 'design', 'attempt', 'plan']"
451,伎,"['deed', 'skill']"
452,危,"['dangerous', 'fear', 'uneasy']"
453,喜,"['rejoice', 'take pleasure in']"
454,器,"['utensil', 'vessel', 'receptacle', 'implement', 'instrument', 'ability', 'container', 'tool', 'set']"
455,基,"['fundamentals', 'radical (chem)', 'counter for machines', 'foundation']"
456,奇,"['strange', 'strangeness', 'curiosity']"
457,嬉,"['glad', 'pleased', 'rejoice']"
458,寄,"['draw near', 'stop in', 'bring near', 'gather', 'collect', 'send', 'forward']"
459,岐,"['branch off', 'fork in road', 'scene', 'arena', 'theater']"
460,希,"['hope', 'beg', 'request', 'pray', 'beseech', 'Greece', 'dilute (acid)', 'rare', 'few', 'phenomenal']"
461,幾,"['how many', 'how much', 'how far', 'how long', 'some', 'several']"
462,忌,"['mourning', 'abhor', 'detestable', 'death anniversary']"
463,揮,"['brandish', 'wave', 'wag', 'swing', 'shake']"
464,机,"['desk', 'table']"
465,旗,"['national flag', 'banner', 'standard']"
466,既,"['previously', 'already', 'long ago']"
467,期,"['period', 'time', 'date', 'term']"
468,棋,"['chess piece', 'Japanese chess', 'shogi']"
469,棄,"['abandon', 'throw away', 'discard', 'resign', 'reject', 'sacrifice']"
470,機,"['loom', 'mechanism', 'machine', 'airplane', 'opportunity', 'potency', 'efficacy', 'occasion']"
471,帰,"['homecoming', 'arrive at', 'lead to', 'result in']"
472,毅,['strong']
473,気,"['spirit', 'mind', 'air', 'atmosphere', 'mood']"
474,汽,"['vapor', 'steam']"
475,畿,"['capital', 'suburbs of capital']"
476,祈,"['pray', 'wish']"
477,季,['seasons']
478,稀,"['rare', 'phenomenal', 'dilute (acid)']"
479,紀,"['chronicle', 'account', 'narrative', 'history', 'annals', 'geologic period']"
480,徽,"['good', 'beautiful', 'badge']"
481,規,"['standard', 'measure']"
482,記,"['scribe', 'account', 'narrative']"
483,貴,"['precious', 'value', 'prize', 'esteem', 'honor']"
484,起,"['rouse', 'wake up', 'get up']"
485,軌,"['rut', 'wheel', 'track', 'model', 'way of doing']"
486,輝,"['radiance', 'shine', 'sparkle', 'gleam', 'twinkle']"
487,飢,"['hungry', 'starve']"
488,騎,"['equestrian', 'riding on horses', 'counter for equestrians']"
489,鬼,"['ghost', 'devil']"
490,亀,"['tortoise', 'turtle']"
491,偽,"['falsehood', 'lie', 'deceive', 'pretend', 'counterfeit', 'forgery']"
492,儀,"['ceremony', 'rule', 'affair', 'case', 'a matter']"
493,妓,"['stretch', 'singing girl', 'geisha', 'prostitute']"
494,宜,"['best regards', 'good']"
495,戯,"['frolic', 'play', 'sport']"
496,技,"['skill', 'art', 'craft', 'ability', 'feat', 'performance', 'vocation', 'arts']"
497,擬,"['mimic', 'aim (a gun) at', 'nominate', 'imitate']"
498,欺,"['deceit', 'cheat', 'delude']"
499,犠,['sacrifice']
500,疑,"['doubt', 'distrust', 'be suspicious', 'question']"
501,祇,"['national or local god', 'peaceful', 'great']"
502,義,"['righteousness', 'justice', 'morality', 'honor', 'loyalty', 'meaning']"
503,蟻,['ant']
504,誼,"['friendship', 'intimacy']"
505,議,"['deliberation', 'consultation', 'debate', 'consideration']"
506,掬,['scoop up water with the hand']
507,菊,['chrysanthemum']
508,鞠,['ball']
509,吉,"['good luck', 'joy', 'congratulations']"
510,吃,['stammer']
511,喫,"['consume', 'eat', 'drink', 'smoke', 'receive (a blow)']"
512,桔,['used in plant names']
513,橘,['mandarin orange']
514,詰,"['packed', 'close', 'pressed', 'reprove', 'rebuke', 'blame']"
515,砧,['fulling block']
516,杵,['wooden pestle']
517,黍,['millet']
518,却,"['instead', 'on the contrary', 'rather', 'step back', 'withdraw', 'retreat']"
519,客,"['guest', 'visitor', 'customer', 'client']"
520,脚,"['skids', 'leg', 'undercarriage', 'lower part', 'base']"
521,虐,"['tyrannize', 'oppress']"
522,逆,"['inverted', 'reverse', 'opposite', 'wicked']"
523,丘,"['hill', 'knoll']"
524,久,"['long time', 'old story']"
525,仇,"['foe', 'enemy', 'revenge', 'grudge', 'feud']"
526,休,"['rest', 'day off', 'retire', 'sleep']"
527,及,"['reach out', 'exert', 'exercise', 'cause']"
528,吸,"['suck', 'imbibe', 'inhale', 'sip']"
529,宮,"['Shinto shrine', 'constellations', 'palace', 'princess']"
530,弓,"['bow', 'bow (archery, violin)']"
531,急,"['hurry', 'emergency', 'sudden', 'steep']"
532,救,"['salvation', 'save', 'help', 'rescue', 'reclaim']"
533,朽,"['decay', 'rot', 'remain in seclusion']"
534,求,"['request', 'want', 'wish for', 'require', 'demand']"
535,汲,"['draw (water)', 'ladle', 'scoop', 'pump']"
536,泣,"['cry', 'weep', 'moan']"
537,灸,"['moxa cautery', 'chastisement']"
538,球,"['ball', 'sphere']"
539,究,"['research', 'study']"
540,窮,"['hard up', 'destitute', 'suffer', 'perplexed', 'cornered']"
541,笈,['backpack bookcase']
542,級,"['class', 'rank', 'grade']"
543,糾,"['twist', 'ask', 'investigate', 'verify']"
